#{"t_start": 1765485402.743859, "env_id": "None"}
r,l,t
283.4,100,0.966719
314.2,96,1.484454
299.0,97,2.467848
301.6,84,3.082079
268.6,99,3.906072
328.4,100,4.616035
313.6,99,5.303004
285.2,91,5.873065
299.0,97,6.543823
301.0,87,7.051595
285.4,90,51.818484
300.4,90,52.290965
315.8,88,52.897932
299.8,93,53.633312
298.8,98,54.472682
300.6,89,55.252738
314.2,96,56.09504
300.2,91,56.907106
298.6,99,57.579866
328.4,100,58.132485
298.6,99,58.733976
298.8,98,191.467802
314.2,96,192.847518
313.4,100,199.88538
314.8,93,206.932426
315.4,90,208.266477
328.6,99,209.82445
313.8,98,211.356631
283.6,99,214.520359
283.4,100,218.986812
330.6,89,221.899867
313.4,100,225.000799
316.8,83,369.160562
331.8,83,369.978801
300.2,91,370.676152
298.6,99,371.377181
284.0,97,372.02698
328.8,98,372.690765
300.0,92,373.32339
285.6,89,373.921963
284.4,95,374.739667
299.2,96,375.487645
314.2,96,376.251347
314.4,95,443.786511
313.4,100,444.656475
328.8,98,445.558679
285.0,92,446.362425
298.4,100,447.262932
299.0,97,447.923139
298.8,98,448.547964
283.8,98,449.1268
298.8,98,449.765831
283.6,99,450.409875
313.8,98,610.814111
313.6,99,613.225285
314.0,97,615.547595
286.6,84,617.611011
300.2,91,619.883771
313.4,100,622.417037
298.6,99,625.139228
313.8,98,627.471033
284.6,94,629.791291
284.0,97,632.228875
313.6,99,634.710562
298.4,100,842.019472
283.4,100,844.862736
314.2,96,849.786409
299.2,96,850.776566
314.4,95,851.668455
300.4,90,852.261955
313.4,100,852.918972
298.6,99,853.599835
299.6,94,854.178162
298.4,100,855.415233
315.4,90,856.56137
300.8,88,925.264784
298.6,99,925.862305
298.6,99,926.487145
299.8,93,927.02559
299.2,96,927.61333
314.2,96,928.180895
300.2,91,928.728584
298.4,100,929.320327
313.4,100,929.947465
283.4,100,930.586748
283.4,100,1013.446176
298.4,100,1015.918435
299.4,95,1018.338715
315.6,89,1020.581857
300.6,89,1022.780067
313.6,99,1025.218549
283.4,100,1027.660389
284.2,96,1030.028697
283.4,100,1032.47014
298.8,98,1034.868073
313.4,100,1037.422876
313.6,99,1232.254164
298.4,100,1234.628375
344.4,95,1237.036339
283.8,98,1240.078445
313.8,98,1242.469761
300.6,89,1244.660927
313.4,100,1247.068439
299.8,93,1249.370183
313.8,98,1254.244834
298.8,98,1256.902798
313.8,98,1339.402603
300.0,92,1339.974381
299.0,97,1340.586568
314.2,96,1341.142016
315.8,88,1341.678225
298.8,98,1342.292694
313.4,100,1342.865499
313.4,100,1343.436451
329.8,93,1344.026973
313.4,100,1344.691675
314.0,97,1345.347607
284.8,93,1521.66399
314.8,93,1526.115025
299.2,96,1531.678387
328.4,100,1533.777939
299.0,97,1535.166441
300.4,90,1536.471102
314.0,97,1541.285077
298.8,98,1542.945455
299.4,95,1544.565252
269.0,97,1550.378884
314.0,97,1553.253998
298.8,98,1641.316402
316.4,85,1641.809523
284.2,96,1642.415093
313.6,99,1643.124718
298.6,99,1643.834877
313.8,98,1644.514922
313.6,99,1645.130175
301.6,84,1645.770821
299.4,95,1646.558868
315.4,90,1647.346292
314.0,97,1648.049201
